,Symbol,Bid,Ask,Datetime,Timestamp
0,BTC/USDT,"[25899.0, 0.13736287]","[25900.0, 0.1192]",2023-09-01 16:37:03.540941,
1,BTC/USDT,"[25901.0, 0.01298245]","[25904.0, 0.1195704]",2023-09-01 16:38:03.751721,
2,BTC/USDT,"[25890.0, 0.15806057]","[25891.0, 0.0005794]",2023-09-01 16:39:04.060705,
3,BTC/USDT,"[25887.0, 0.1192]","[25894.0, 0.29316057]",2023-09-01 16:40:11.458220,
4,BTC/USDT,"[25868.0, 0.31264357]","[25874.0, 0.01]",2023-09-01 16:41:11.628807,
5,BTC/USDT,"[25876.0, 0.1192]","[25881.0, 0.21776396]",2023-09-01 16:42:11.821834,
6,BTC/USDT,"[25865.0, 0.155596]","[25870.0, 0.01]",2023-09-01 16:43:12.055845,
7,BTC/USDT,"[25865.0, 0.06949562]","[25869.0, 0.1292]",2023-09-01 16:44:12.167387,
8,BTC/USDT,"[25868.0, 0.154574]","[25871.0, 0.01]",2023-09-01 16:45:12.282404,
9,BTC/USDT,"[25849.0, 0.001]","[25852.0, 0.01]",2023-09-01 16:46:12.414892,
10,BTC/USDT,"[25838.0, 0.001]","[25840.0, 0.01]",2023-09-01 16:47:12.820593,
11,BTC/USDT,"[25832.0, 0.1199]","[25838.0, 0.196]",2023-09-01 16:48:13.001413,
12,BTC/USDT,"[25833.0, 0.01]","[25838.0, 0.1969]",2023-09-01 16:49:13.144393,
13,BTC/USDT,"[25825.0, 0.1209]","[25828.0, 0.17876874]",2023-09-01 16:50:13.378131,
14,BTC/USDT,"[25818.0, 0.2199]","[25822.0, 0.1199]",2023-09-01 16:51:13.574470,
15,BTC/USDT,"[25828.0, 0.15010803]","[25832.0, 0.182]",2023-09-01 16:52:13.739030,
16,BTC/USDT,"[25846.0, 0.26876057]","[25847.0, 0.00058037]",2023-09-01 16:53:13.876571,
17,BTC/USDT,"[25842.0, 0.00058037]","[25843.0, 0.33994509]",2023-09-01 16:54:15.771307,
18,BTC/USDT,"[25863.0, 0.11]","[25864.0, 0.0011]",2023-09-01 16:55:15.947880,
19,BTC/USDT,"[25856.0, 0.03157906]","[25858.0, 0.1864]",2023-09-01 16:56:16.103718,
20,BTC/USDT,"[25842.0, 0.01605737]","[25843.0, 0.33327773]",2023-09-01 16:57:16.244987,
21,BTC/USDT,"[25819.0, 0.001]","[25820.0, 0.34017072]",2023-09-01 16:58:16.379783,
22,BTC/USDT,"[25809.0, 0.06149562]","[25814.0, 0.1199]",2023-09-01 16:59:16.529352,
23,BTC/USDT,"[25799.0, 0.1]","[25804.0, 0.1929]",2023-09-01 17:00:16.743507,
24,BTC/USDT,"[25811.0, 0.04886057]","[25814.0, 0.32034217]",2023-09-01 17:01:16.923521,
25,BTC/USDT,"[25784.0, 0.001]","[25786.0, 0.01]",2023-09-01 17:02:17.054465,
26,BTC/USDT,"[25783.0, 0.0005817]","[25784.0, 0.86372062]",2023-09-01 17:03:17.194459,
27,BTC/USDT,"[25766.0, 0.001]","[25767.0, 0.17047636]",2023-09-01 17:04:17.399257,
28,BTC/USDT,"[25809.0, 0.30905903]","[25810.0, 0.0011]",2023-09-01 17:05:17.539019,
29,BTC/USDT,"[25801.0, 0.20905903]","[25802.0, 0.00015479]",2023-09-01 17:06:17.686862,
30,BTC/USDT,"[25798.0, 0.00058135]","[25799.0, 0.1703]",2023-09-01 17:07:17.854102,
31,BTC/USDT,"[25794.0, 0.03934047]","[25798.0, 0.1928]",2023-09-01 17:08:18.052516,
