,Symbol,Bid,Ask,Datetime,Timestamp
0,BTC/USDT,"[25907.73, 16.84722]","[25907.74, 8.16039]",2023-09-01 16:37:23.347821,
1,BTC/USDT,"[25891.92, 2.65783]","[25891.93, 17.09659]",2023-09-01 16:38:23.899331,
2,BTC/USDT,"[25897.47, 11.12809]","[25897.48, 7.40175]",2023-09-01 16:39:24.417893,
3,BTC/USDT,"[25877.88, 1.2198]","[25877.89, 13.41748]",2023-09-01 16:41:34.876328,
4,BTC/USDT,"[25873.68, 0.9705]","[25873.69, 15.81111]",2023-09-01 16:42:35.146802,
5,BTC/USDT,"[25867.0, 4.90026]","[25867.01, 12.87875]",2023-09-01 16:43:35.407247,
6,BTC/USDT,"[25860.06, 2.46269]","[25860.07, 12.74842]",2023-09-01 16:45:45.881053,
7,BTC/USDT,"[25842.47, 3.35315]","[25842.48, 16.71018]",2023-09-01 16:46:46.146493,
8,BTC/USDT,"[25833.49, 15.84226]","[25833.5, 1.24422]",2023-09-01 16:47:46.406581,
9,BTC/USDT,"[25837.74, 9.39742]","[25837.75, 13.97524]",2023-09-01 16:48:46.722210,
10,BTC/USDT,"[25830.01, 12.44829]","[25830.02, 9.16709]",2023-09-01 16:49:46.981387,
11,BTC/USDT,"[25817.28, 9.92377]","[25817.29, 16.5329]",2023-09-01 16:50:47.260622,
12,BTC/USDT,"[25830.68, 12.17633]","[25830.69, 5.32341]",2023-09-01 16:51:47.565637,
13,BTC/USDT,"[25838.43, 6.40744]","[25838.44, 10.28935]",2023-09-01 16:52:47.879884,
14,BTC/USDT,"[25847.73, 5.6604]","[25847.74, 17.56698]",2023-09-01 16:53:48.194816,
15,BTC/USDT,"[25851.13, 25.58737]","[25851.14, 0.0185]",2023-09-01 16:54:48.510079,
16,BTC/USDT,"[25863.34, 6.25293]","[25863.35, 13.60948]",2023-09-01 16:55:48.771742,
17,BTC/USDT,"[25846.84, 6.67541]","[25846.85, 10.92255]",2023-09-01 16:56:49.147201,
18,BTC/USDT,"[25837.53, 0.11839]","[25837.54, 16.07584]",2023-09-01 16:57:49.453317,
19,BTC/USDT,"[25814.75, 1.48181]","[25814.76, 10.5626]",2023-09-01 16:58:49.768189,
20,BTC/USDT,"[25811.0, 4.3075]","[25811.01, 25.83652]",2023-09-01 16:59:50.082664,
21,BTC/USDT,"[25819.99, 12.68308]","[25820.0, 11.17783]",2023-09-01 17:00:50.397888,
22,BTC/USDT,"[25786.48, 13.16582]","[25786.49, 4.86814]",2023-09-01 17:01:50.711881,
23,BTC/USDT,"[25779.98, 0.00049]","[25780.01, 1.11397]",2023-09-01 17:02:51.027835,
24,BTC/USDT,"[25769.89, 4.10773]","[25769.9, 17.25223]",2023-09-01 17:03:51.342200,
25,BTC/USDT,"[25807.01, 17.7272]","[25807.02, 2.06774]",2023-09-01 17:04:51.657268,
26,BTC/USDT,"[25800.0, 7.35629]","[25800.01, 18.09311]",2023-09-01 17:05:51.972045,
27,BTC/USDT,"[25811.93, 20.53112]","[25811.94, 0.28998]",2023-09-01 17:06:52.238451,
28,BTC/USDT,"[25795.17, 0.87689]","[25795.18, 21.83836]",2023-09-01 17:07:52.602648,
29,BTC/USDT,"[25782.66, 6.4145]","[25782.67, 11.494]",2023-09-01 17:08:52.920546,
30,BTC/USDT,"[25760.85, 2.79718]","[25760.86, 13.02445]",2023-09-01 17:09:53.233260,
31,BTC/USDT,"[25764.36, 13.66831]","[25764.37, 8.77482]",2023-09-01 17:10:53.548910,
32,BTC/USDT,"[25780.64, 0.00659]","[25780.65, 1.1963]",2023-09-01 17:11:53.806575,
33,BTC/USDT,"[25781.93, 6.66791]","[25781.94, 13.76505]",2023-09-01 17:12:54.075924,
34,BTC/USDT,"[25808.28, 0.72745]","[25808.29, 21.53523]",2023-09-01 17:13:54.604414,
35,BTC/USDT,"[25805.0, 6.02751]","[25805.01, 19.83494]",2023-09-01 17:14:54.868629,
36,BTC/USDT,"[25803.49, 8.62289]","[25803.5, 11.01258]",2023-09-01 17:15:55.136808,
37,BTC/USDT,"[25789.43, 14.37921]","[25789.44, 10.9847]",2023-09-01 17:16:55.407183,
38,BTC/USDT,"[25789.77, 20.57591]","[25789.78, 4.10714]",2023-09-01 17:17:55.673901,
39,BTC/USDT,"[25806.33, 12.58724]","[25806.34, 9.97408]",2023-09-01 17:18:57.945559,
40,BTC/USDT,"[25815.6, 12.53791]","[25815.61, 7.82954]",2023-09-01 17:19:58.235133,
41,BTC/USDT,"[25801.67, 6.67]","[25801.68, 24.39716]",2023-09-01 17:20:58.491959,
42,BTC/USDT,"[25804.79, 7.63503]","[25804.8, 14.36669]",2023-09-01 17:21:58.760344,
43,BTC/USDT,"[25800.0, 4.07226]","[25800.01, 10.78393]",2023-09-01 17:22:59.021683,
44,BTC/USDT,"[25809.68, 16.54426]","[25809.69, 6.2088]",2023-09-01 17:23:59.394273,
45,BTC/USDT,"[25826.88, 16.99318]","[25826.89, 1.43045]",2023-09-01 17:24:59.710631,
46,BTC/USDT,"[25860.0, 4.17405]","[25860.01, 11.5119]",2023-09-01 17:26:00.023479,
47,BTC/USDT,"[25871.8, 8.74344]","[25871.81, 0.74985]",2023-09-01 17:27:00.285269,
48,BTC/USDT,"[25907.08, 16.13966]","[25907.09, 3.37158]",2023-09-01 17:28:00.656073,
49,BTC/USDT,"[25914.73, 17.18285]","[25914.74, 3.2426]",2023-09-01 17:29:00.972083,
50,BTC/USDT,"[25901.35, 0.17889]","[25901.36, 14.29094]",2023-09-01 17:30:01.286800,
51,BTC/USDT,"[25929.45, 0.18994]","[25929.46, 8.38675]",2023-09-01 17:31:01.601495,
52,BTC/USDT,"[25893.61, 1.14488]","[25893.62, 11.64743]",2023-09-01 17:32:01.864373,
53,BTC/USDT,"[25918.47, 2.83875]","[25918.48, 17.27067]",2023-09-01 17:33:02.241627,
54,BTC/USDT,"[25955.88, 11.27102]","[25955.89, 5.67518]",2023-09-01 17:34:02.540980,
55,BTC/USDT,"[25922.86, 0.47347]","[25922.87, 24.99997]",2023-09-01 17:35:02.864654,
56,BTC/USDT,"[25908.37, 10.51214]","[25908.38, 7.05979]",2023-09-01 17:36:03.179256,
57,BTC/USDT,"[25881.54, 0.24453]","[25881.55, 17.31194]",2023-09-01 17:37:03.493688,
58,BTC/USDT,"[25877.25, 3.0572]","[25877.26, 8.72116]",2023-09-01 17:38:03.820171,
59,BTC/USDT,"[25885.65, 3.88643]","[25885.66, 14.25144]",2023-09-01 17:39:04.125486,
