,Symbol,Bid,Ask,Datetime,Timestamp
0,BTC/USDT,"[25901.0, 0.0144]","[25911.0, 0.23366829]",2023-09-01 16:37:04.842480,2023-09-01 15:37:03.470
1,BTC/USDT,"[25897.0, 0.62449947]","[25898.0, 0.00143532]",2023-09-01 16:38:04.896837,2023-09-01 15:38:03.465
2,BTC/USDT,"[25888.0, 0.21940282]","[25896.0, 0.15935935]",2023-09-01 16:39:05.925423,2023-09-01 15:39:03.504
3,BTC/USDT,"[25884.0, 0.0144]","[25889.0, 0.15940381]",2023-09-01 16:40:09.914018,2023-09-01 15:40:05.464
4,BTC/USDT,"[25873.0, 0.00379726]","[25874.0, 0.15950034]",2023-09-01 16:41:09.993957,2023-09-01 15:41:09.464
5,BTC/USDT,"[25882.0, 0.00061673]","[25883.0, 0.21944458]",2023-09-01 16:42:10.102148,2023-09-01 15:42:09.496
6,BTC/USDT,"[25861.0, 1.3623627]","[25869.0, 0.17392849]",2023-09-01 16:43:10.189187,2023-09-01 15:43:09.542
7,BTC/USDT,"[25868.0, 0.02601932]","[25869.0, 0.17392938]",2023-09-01 16:44:10.286712,2023-09-01 15:44:09.471
8,BTC/USDT,"[25866.0, 1.13894742]","[25867.0, 0.10023443]",2023-09-01 16:45:10.377094,2023-09-01 15:45:09.482
9,BTC/USDT,"[25845.0, 0.0144]","[25852.0, 0.17403394]",2023-09-01 16:46:10.435349,2023-09-01 15:46:09.475
10,BTC/USDT,"[25833.0, 3.24286291]","[25843.0, 0.18848721]",2023-09-01 16:47:10.491050,2023-09-01 15:47:09.534
11,BTC/USDT,"[25827.0, 0.04263984]","[25831.0, 11.33591806]",2023-09-01 16:48:10.562535,2023-09-01 15:48:09.519
12,BTC/USDT,"[25830.0, 3.21945358]","[25831.0, 0.02845616]",2023-09-01 16:49:10.918655,2023-09-01 15:49:09.516
13,BTC/USDT,"[25823.0, 0.17420487]","[25831.0, 0.17416371]",2023-09-01 16:50:12.477736,2023-09-01 15:50:11.530
14,BTC/USDT,"[25818.0, 0.18863748]","[25828.0, 0.17418235]",2023-09-01 16:51:12.550429,2023-09-01 15:51:11.562
15,BTC/USDT,"[25828.0, 3.37560428]","[25829.0, 0.0012015]",2023-09-01 16:52:12.661821,2023-09-01 15:52:11.475
16,BTC/USDT,"[25850.0, 0.15962785]","[25857.0, 0.0144]",2023-09-01 16:53:12.724744,2023-09-01 15:53:11.504
17,BTC/USDT,"[25834.0, 3.12285359]","[25840.0, 0.15969624]",2023-09-01 16:54:20.505131,2023-09-01 15:54:11.472
18,BTC/USDT,"[25866.0, 3.12618508]","[25875.0, 0.17388134]",2023-09-01 16:55:20.593744,2023-09-01 15:55:19.476
19,BTC/USDT,"[25863.0, 0.01923513]","[25864.0, 0.25193863]",2023-09-01 16:56:20.679043,2023-09-01 15:56:19.467
20,BTC/USDT,"[25852.0, 0.00803877]","[25853.0, 0.13116268]",2023-09-01 16:57:20.761690,2023-09-01 15:57:19.465
21,BTC/USDT,"[25816.0, 0.00772212]","[25817.0, 0.23282547]",2023-09-01 16:58:20.840796,2023-09-01 15:58:19.571
22,BTC/USDT,"[25813.0, 0.05967714]","[25814.0, 0.01089222]",2023-09-01 16:59:20.903517,2023-09-01 15:59:19.467
23,BTC/USDT,"[25809.0, 0.0075761]","[25810.0, 0.01023338]",2023-09-01 17:00:20.989340,2023-09-01 16:00:19.468
24,BTC/USDT,"[25805.0, 2.0036604]","[25813.0, 0.23427151]",2023-09-01 17:01:21.053509,2023-09-01 16:01:19.471
25,BTC/USDT,"[25785.0, 0.0144]","[25793.0, 0.15999393]",2023-09-01 17:02:21.112927,2023-09-01 16:02:19.489
26,BTC/USDT,"[25785.0, 0.02920446]","[25786.0, 19.58689854]",2023-09-01 17:03:21.176718,2023-09-01 16:03:19.467
27,BTC/USDT,"[25756.0, 0.0144]","[25757.0, 0.14041336]",2023-09-01 17:04:21.252631,2023-09-01 16:04:19.477
28,BTC/USDT,"[25815.0, 0.30845527]","[25816.0, 0.13638645]",2023-09-01 17:05:21.316244,2023-09-01 16:05:19.477
29,BTC/USDT,"[25805.0, 0.41725527]","[25815.0, 0.0144]",2023-09-01 17:06:21.416249,2023-09-01 16:06:19.564
30,BTC/USDT,"[25791.0, 1.14888891]","[25797.0, 0.0144]",2023-09-01 17:07:21.472101,2023-09-01 16:07:19.500
31,BTC/USDT,"[25785.0, 1.20242553]","[25789.0, 0.0288]",2023-09-01 17:08:23.757780,2023-09-01 16:08:19.467
32,BTC/USDT,"[25770.0, 1.15323788]","[25771.0, 0.03310867]",2023-09-01 17:09:23.834865,2023-09-01 16:09:23.529
33,BTC/USDT,"[25759.0, 1.09492122]","[25760.0, 0.01335585]",2023-09-01 17:10:23.925050,2023-09-01 16:10:23.549
34,BTC/USDT,"[25768.0, 0.17454893]","[25776.0, 0.17450826]",2023-09-01 17:11:26.058802,2023-09-01 16:11:23.475
35,BTC/USDT,"[25765.0, 0.0144]","[25771.0, 0.16013577]",2023-09-01 17:12:26.148863,2023-09-01 16:12:25.470
36,BTC/USDT,"[25799.0, 0.15995504]","[25809.0, 0.0288]",2023-09-01 17:13:26.212156,2023-09-01 16:13:25.472
37,BTC/USDT,"[25797.0, 2.58388927]","[25798.0, 0.20605812]",2023-09-01 17:14:26.420863,2023-09-01 16:14:25.500
38,BTC/USDT,"[25808.0, 0.01200869]","[25813.0, 0.15987333]",2023-09-01 17:15:26.489188,2023-09-01 16:15:25.471
