Time,Exchange,Symbol,Bid,Ask
16:37:00,Binance,BTC/USDT,"[25907.73, 16.84722]","[25907.74, 8.16039]"
16:37:00,Bitfinex,BTC/USDT,"[25899.0, 0.13736287]","[25900.0, 0.1192]"
16:37:00,Bitstamp,BTC/USDT,"[25901.0, 0.0144]","[25911.0, 0.23366829]"
16:37:00,OKX,BTC/USDT,"[25901.4, 0.56009766]","[25901.5, 0.30131139]"
16:38:00,Binance,BTC/USDT,"[25891.92, 2.65783]","[25891.93, 17.09659]"
16:38:00,Bitfinex,BTC/USDT,"[25901.0, 0.01298245]","[25904.0, 0.1195704]"
16:38:00,Bitstamp,BTC/USDT,"[25897.0, 0.62449947]","[25898.0, 0.00143532]"
16:38:00,Kraken,BTC/USDT,"[25898.7, 0.028, 1693582655]","[25898.8, 0.246, 1693582710]"
16:38:00,OKX,BTC/USDT,"[25894.2, 1.52639861]","[25894.3, 0.60958637]"
16:39:00,Binance,BTC/USDT,"[25897.47, 11.12809]","[25897.48, 7.40175]"
16:39:00,Bitfinex,BTC/USDT,"[25890.0, 0.15806057]","[25891.0, 0.0005794]"
16:39:00,Bitstamp,BTC/USDT,"[25888.0, 0.21940282]","[25896.0, 0.15935935]"
16:39:00,Kraken,BTC/USDT,"[25893.8, 0.016, 1693582770]","[25895.0, 0.918, 1693582770]"
16:39:00,OKX,BTC/USDT,"[25893.9, 0.58349914]","[25894.0, 1.3960121]"
16:40:00,Bitfinex,BTC/USDT,"[25887.0, 0.1192]","[25894.0, 0.29316057]"
16:40:00,Bitstamp,BTC/USDT,"[25884.0, 0.0144]","[25889.0, 0.15940381]"
16:40:00,Kraken,BTC/USDT,"[25894.9, 0.394, 1693582831]","[25895.0, 0.304, 1693582819]"
16:40:00,OKX,BTC/USDT,"[25896.0, 0.00192904]","[25896.1, 4.43201841]"
16:41:00,Binance,BTC/USDT,"[25877.88, 1.2198]","[25877.89, 13.41748]"
16:41:00,Bitfinex,BTC/USDT,"[25868.0, 0.31264357]","[25874.0, 0.01]"
16:41:00,Bitstamp,BTC/USDT,"[25873.0, 0.00379726]","[25874.0, 0.15950034]"
16:41:00,Kraken,BTC/USDT,"[25878.2, 0.001, 1693582890]","[25879.5, 0.194, 1693582890]"
16:41:00,OKX,BTC/USDT,"[25876.0, 1.35566748]","[25876.1, 0.94625824]"
16:42:00,Binance,BTC/USDT,"[25873.68, 0.9705]","[25873.69, 15.81111]"
16:42:00,Bitfinex,BTC/USDT,"[25876.0, 0.1192]","[25881.0, 0.21776396]"
16:42:00,Bitstamp,BTC/USDT,"[25882.0, 0.00061673]","[25883.0, 0.21944458]"
16:42:00,Kraken,BTC/USDT,"[25877.5, 0.077, 1693582949]","[25878.2, 0.001, 1693582945]"
16:42:00,OKX,BTC/USDT,"[25870.2, 0.50986357]","[25870.3, 2.49848193]"
16:43:00,Binance,BTC/USDT,"[25867.0, 4.90026]","[25867.01, 12.87875]"
16:43:00,Bitfinex,BTC/USDT,"[25865.0, 0.155596]","[25870.0, 0.01]"
16:43:00,Bitstamp,BTC/USDT,"[25861.0, 1.3623627]","[25869.0, 0.17392849]"
16:43:00,Kraken,BTC/USDT,"[25865.3, 0.001, 1693583006]","[25866.4, 0.726, 1693583006]"
16:43:00,OKX,BTC/USDT,"[25865.4, 0.00119406]","[25865.5, 4.76936781]"
16:44:00,Bitfinex,BTC/USDT,"[25865.0, 0.06949562]","[25869.0, 0.1292]"
16:44:00,Bitstamp,BTC/USDT,"[25868.0, 0.02601932]","[25869.0, 0.17392938]"
16:44:00,Kraken,BTC/USDT,"[25870.4, 0.052, 1693583062]","[25871.4, 0.194, 1693583063]"
16:44:00,OKX,BTC/USDT,"[25875.4, 1.53805946]","[25875.5, 0.76182984]"
16:45:00,Binance,BTC/USDT,"[25860.06, 2.46269]","[25860.07, 12.74842]"
16:45:00,Bitfinex,BTC/USDT,"[25868.0, 0.154574]","[25871.0, 0.01]"
16:45:00,Bitstamp,BTC/USDT,"[25866.0, 1.13894742]","[25867.0, 0.10023443]"
