,Symbol,Bid,Ask,Datetime,Timestamp
0,BTC/USDT,"[25901.4, 0.56009766]","[25901.5, 0.30131139]",2023-09-01 16:37:33.618076,2023-09-01 15:37:33.509
1,BTC/USDT,"[25894.2, 1.52639861]","[25894.3, 0.60958637]",2023-09-01 16:38:33.935758,2023-09-01 15:38:33.709
2,BTC/USDT,"[25893.9, 0.58349914]","[25894.0, 1.3960121]",2023-09-01 16:39:34.215418,2023-09-01 15:39:34.109
3,BTC/USDT,"[25896.0, 0.00192904]","[25896.1, 4.43201841]",2023-09-01 16:40:38.292553,2023-09-01 15:40:34.309
4,BTC/USDT,"[25876.0, 1.35566748]","[25876.1, 0.94625824]",2023-09-01 16:41:38.667006,2023-09-01 15:41:38.409
5,BTC/USDT,"[25870.2, 0.50986357]","[25870.3, 2.49848193]",2023-09-01 16:42:38.905827,2023-09-01 15:42:38.759
6,BTC/USDT,"[25865.4, 0.00119406]","[25865.5, 4.76936781]",2023-09-01 16:43:39.192945,2023-09-01 15:43:38.959
7,BTC/USDT,"[25875.4, 1.53805946]","[25875.5, 0.76182984]",2023-09-01 16:44:47.868966,2023-09-01 15:44:39.359
8,BTC/USDT,"[25856.0, 0.98576821]","[25856.1, 0.77367662]",2023-09-01 16:45:48.106788,2023-09-01 15:45:47.959
9,BTC/USDT,"[25838.1, 6.72818068]","[25838.2, 0.00189179]",2023-09-01 16:46:48.449774,2023-09-01 15:46:48.159
10,BTC/USDT,"[25832.9, 0.03804307]","[25833.0, 1.51515818]",2023-09-01 16:47:48.703226,2023-09-01 15:47:48.559
11,BTC/USDT,"[25835.0, 0.13054665]","[25835.1, 1.83060416]",2023-09-01 16:48:48.977799,2023-09-01 15:48:48.809
12,BTC/USDT,"[25827.9, 2.45518322]","[25828.0, 0.18706094]",2023-09-01 16:49:49.210030,2023-09-01 15:49:49.059
13,BTC/USDT,"[25814.0, 1.31504458]","[25814.1, 0.9366691]",2023-09-01 16:50:49.454299,2023-09-01 15:50:49.259
14,BTC/USDT,"[25831.5, 0.35191189]","[25831.6, 3.19841695]",2023-09-01 16:51:49.824751,2023-09-01 15:51:49.559
15,BTC/USDT,"[25837.9, 0.0347311]","[25838.0, 3.06577348]",2023-09-01 16:52:50.236837,2023-09-01 15:52:49.909
16,BTC/USDT,"[25844.5, 1.80408313]","[25844.6, 0.94195604]",2023-09-01 16:53:50.552578,2023-09-01 15:53:50.209
17,BTC/USDT,"[25853.2, 0.03424614]","[25853.3, 2.94353058]",2023-09-01 16:54:50.868425,2023-09-01 15:54:50.659
18,BTC/USDT,"[25858.5, 0.30319607]","[25858.6, 2.99635002]",2023-09-01 16:55:51.181366,2023-09-01 15:55:50.909
19,BTC/USDT,"[25841.9, 5.16601899]","[25842.0, 0.15518384]",2023-09-01 16:56:51.422937,2023-09-01 15:56:51.259
20,BTC/USDT,"[25832.1, 0.00117095]","[25832.2, 3.03815734]",2023-09-01 16:57:51.665471,2023-09-01 15:57:51.509
21,BTC/USDT,"[25814.7, 1.44602095]","[25814.8, 0.87467467]",2023-09-01 16:58:52.023760,2023-09-01 15:58:51.759
22,BTC/USDT,"[25810.4, 0.30130953]","[25810.5, 4.30195542]",2023-09-01 16:59:52.337617,2023-09-01 15:59:52.059
23,BTC/USDT,"[25817.9, 1.73636613]","[25818.0, 1.36781207]",2023-09-01 17:00:52.577892,2023-09-01 16:00:52.409
24,BTC/USDT,"[25785.8, 1.85190279]","[25785.9, 0.19537888]",2023-09-01 17:01:52.968069,2023-09-01 16:01:52.659
25,BTC/USDT,"[25779.8, 1.54896199]","[25779.9, 0.68750124]",2023-09-01 17:02:53.385324,2023-09-01 16:02:53.059
26,BTC/USDT,"[25768.5, 0.00117356]","[25768.6, 4.49129235]",2023-09-01 17:03:53.698364,2023-09-01 16:03:53.509
27,BTC/USDT,"[25808.8, 0.32236801]","[25808.9, 2.37524635]",2023-09-01 17:04:53.941334,2023-09-01 16:04:53.709
28,BTC/USDT,"[25797.3, 0.00117239]","[25797.4, 7.10837231]",2023-09-01 17:05:54.226685,2023-09-01 16:05:54.009
29,BTC/USDT,"[25810.1, 0.27589974]","[25810.2, 4.21280111]",2023-09-01 17:06:54.540862,2023-09-01 16:06:54.209
30,BTC/USDT,"[25792.8, 0.86764211]","[25792.9, 1.48638288]",2023-09-01 17:07:54.771203,2023-09-01 16:07:54.609
31,BTC/USDT,"[25781.9, 3.48153083]","[25782.0, 0.10741806]",2023-09-01 17:08:55.076702,2023-09-01 16:08:54.850
32,BTC/USDT,"[25761.0, 1.1982564]","[25761.1, 0.63777247]",2023-09-01 17:09:55.318141,2023-09-01 16:09:55.100
33,BTC/USDT,"[25765.9, 0.34756775]","[25766.0, 2.3050293]",2023-09-01 17:10:55.705076,2023-09-01 16:10:55.400
34,BTC/USDT,"[25778.4, 0.00331222]","[25778.5, 3.95448911]",2023-09-01 17:11:55.979870,2023-09-01 16:11:55.850
35,BTC/USDT,"[25785.6, 0.30246006]","[25785.7, 3.08462694]",2023-09-01 17:12:56.289989,2023-09-01 16:12:56.050
36,BTC/USDT,"[25808.1, 0.30117371]","[25808.2, 2.29640081]",2023-09-01 17:13:57.392624,2023-09-01 16:13:56.350
37,BTC/USDT,"[25806.5, 1.91969091]","[25806.6, 0.18207779]",2023-09-01 17:14:57.676877,2023-09-01 16:14:57.450
38,BTC/USDT,"[25805.1, 1.29425976]","[25805.2, 0.39693525]",2023-09-01 17:15:57.909880,2023-09-01 16:15:57.650
39,BTC/USDT,"[25788.9, 3.13726432]","[25789.0, 0.62654124]",2023-09-01 17:16:58.255205,2023-09-01 16:16:58.000
40,BTC/USDT,"[25792.1, 0.05872367]","[25792.2, 1.52522283]",2023-09-01 17:17:58.619659,2023-09-01 16:17:58.300
41,BTC/USDT,"[25807.7, 2.02151002]","[25807.8, 0.59707275]",2023-09-01 17:18:58.945866,2023-09-01 16:18:58.650
42,BTC/USDT,"[25815.9, 3.39239469]","[25816.0, 0.11735162]",2023-09-01 17:20:02.456921,2023-09-01 16:19:59.000
43,BTC/USDT,"[25803.9, 1.31794146]","[25804.0, 0.02]",2023-09-01 17:21:02.699522,2023-09-01 16:21:02.550
44,BTC/USDT,"[25808.1, 0.74891294]","[25808.2, 0.36622567]",2023-09-01 17:22:03.066512,2023-09-01 16:22:02.650
45,BTC/USDT,"[25799.2, 0.30274439]","[25799.3, 0.99706596]",2023-09-01 17:23:03.381995,2023-09-01 16:23:03.150
46,BTC/USDT,"[25806.1, 3.61991102]","[25806.2, 0.11053176]",2023-09-01 17:24:03.620822,2023-09-01 16:24:03.400
47,BTC/USDT,"[25833.0, 0.01362529]","[25833.1, 1.0368112]",2023-09-01 17:25:03.910887,2023-09-01 16:25:03.450
48,BTC/USDT,"[25857.7, 2.6372151]","[25857.8, 0.00132638]",2023-09-01 17:26:04.150129,2023-09-01 16:26:03.950
49,BTC/USDT,"[25872.6, 3.15737879]","[25872.7, 0.34361441]",2023-09-01 17:27:06.296142,2023-09-01 16:27:04.250
50,BTC/USDT,"[25916.3, 0.35358276]","[25916.4, 2.13608773]",2023-09-01 17:28:06.596812,2023-09-01 16:28:06.300
51,BTC/USDT,"[25918.4, 1.73045002]","[25918.5, 0.30116847]",2023-09-01 17:29:06.848815,2023-09-01 16:29:06.550
52,BTC/USDT,"[25909.3, 1.62994401]","[25909.4, 0.00351357]",2023-09-01 17:30:07.226937,2023-09-01 16:30:06.950
53,BTC/USDT,"[25916.0, 2.23422747]","[25916.1, 0.00120627]",2023-09-01 17:31:07.463760,2023-09-01 16:31:07.300
54,BTC/USDT,"[25887.3, 0.7940182]","[25887.4, 1.65906768]",2023-09-01 17:32:07.858395,2023-09-01 16:32:07.450
55,BTC/USDT,"[25912.1, 0.00254448]","[25912.2, 1.84091396]",2023-09-01 17:33:08.094938,2023-09-01 16:33:07.850
56,BTC/USDT,"[25951.4, 0.27714451]","[25951.5, 1.63063324]",2023-09-01 17:34:08.387563,2023-09-01 16:34:08.150
57,BTC/USDT,"[25920.6, 1.42589045]","[25920.7, 1.12679435]",2023-09-01 17:35:08.641977,2023-09-01 16:35:08.450
58,BTC/USDT,"[25906.9, 0.01044683]","[25907.0, 1.67689491]",2023-09-01 17:36:08.914572,2023-09-01 16:36:08.600
59,BTC/USDT,"[25877.0, 0.24792826]","[25877.1, 1.3057301]",2023-09-01 17:37:09.230682,2023-09-01 16:37:09.000
